ts_code,symbol,name
002131.SZ,002131,利欧股份
002133.SZ,002133,广宇集团
002134.SZ,002134,天津普林
002135.SZ,002135,东南网架
002136.SZ,002136,安纳达
002137.SZ,002137,麦达数字
002138.SZ,002138,顺络电子
002139.SZ,002139,拓邦股份
002141.SZ,002141,贤丰控股
002142.SZ,002142,宁波银行
002144.SZ,002144,宏达高科
002145.SZ,002145,中核钛白
002146.SZ,002146,荣盛发展
002148.SZ,002148,北纬科技
002149.SZ,002149,西部材料
002150.SZ,002150,通润装备
002151.SZ,002151,北斗星通
002152.SZ,002152,广电运通
002153.SZ,002153,石基信息
002154.SZ,002154,报喜鸟
002155.SZ,002155,湖南黄金
002156.SZ,002156,通富微电
002157.SZ,002157,正邦科技
002158.SZ,002158,汉钟精机
002159.SZ,002159,三特索道
002160.SZ,002160,常铝股份
002162.SZ,002162,悦心健康
002165.SZ,002165,红宝丽
002166.SZ,002166,莱茵生物
002168.SZ,002168,惠程科技
002169.SZ,002169,智光电气
002171.SZ,002171,楚江新材
002173.SZ,002173,创新医疗
002174.SZ,002174,游族网络
002177.SZ,002177,御银股份
002178.SZ,002178,延华智能
002179.SZ,002179,中航光电
002180.SZ,002180,纳思达
002181.SZ,002181,粤传媒
002182.SZ,002182,云海金属
002183.SZ,002183,怡亚通
002185.SZ,002185,华天科技
002186.SZ,002186,全聚德
002187.SZ,002187,广百股份
002189.SZ,002189,中光学
002191.SZ,002191,劲嘉股份
002193.SZ,002193,如意集团
002195.SZ,002195,二三四五
002196.SZ,002196,方正电机
002197.SZ,002197,证通电子
002202.SZ,002202,金风科技
002203.SZ,002203,海亮股份
002205.SZ,002205,国统股份
002206.SZ,002206,海利得
002208.SZ,002208,合肥城建
002209.SZ,002209,达意隆
002211.SZ,002211,宏达新材
002212.SZ,002212,天融信
002213.SZ,002213,大为股份
002214.SZ,002214,大立科技
002215.SZ,002215,诺普信
002216.SZ,002216,三全食品
002217.SZ,002217,合力泰
002218.SZ,002218,拓日新能
